Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
25-May-2023,EQ,399.0,399.0,392.65,399.7,395.0,394.1,395.45,488.0,352.0,"68,02,527","2,69,00,75,398.45","79,994"
24-May-2023,EQ,394.5,400.45,393.35,397.65,399.5,399.7,398.36,488.0,352.0,"41,28,487","1,64,46,42,807.90","56,094"
23-May-2023,EQ,397.0,402.1,396.05,395.75,397.2,397.65,399.3,488.0,352.0,"63,62,817","2,54,06,97,150.80","1,05,221"
22-May-2023,EQ,386.5,396.6,385.4,386.2,396.0,395.75,392.6,488.0,352.0,"60,98,695","2,39,43,46,544.80","94,635"
19-May-2023,EQ,384.8,388.2,383.5,382.6,385.9,386.2,386.09,495.25,352.0,"36,40,791","1,40,56,89,204.00","54,093"
18-May-2023,EQ,385.2,385.35,382.25,382.3,382.7,382.6,383.53,495.25,352.0,"21,18,508","81,25,17,380.75","45,499"
17-May-2023,EQ,386.2,387.35,381.35,386.95,382.8,382.3,382.94,495.25,352.0,"26,88,051","1,02,93,61,991.90","58,987"
16-May-2023,EQ,387.5,388.8,386.5,385.75,387.0,386.95,387.4,495.25,352.0,"20,29,676","78,62,96,666.20","41,768"
15-May-2023,EQ,383.25,387.0,382.5,383.25,386.35,385.75,385.76,495.25,352.0,"25,44,847","98,17,05,052.50","61,207"
12-May-2023,EQ,384.6,385.25,381.55,384.65,383.6,383.25,383.49,495.25,352.0,"22,90,179","87,82,53,996.50","55,667"
11-May-2023,EQ,385.7,386.85,383.1,383.75,384.65,384.65,385.07,495.25,352.0,"20,24,982","77,97,61,291.25","46,214"
10-May-2023,EQ,384.0,384.55,382.0,382.3,383.75,383.75,383.13,495.25,352.0,"18,35,201","70,31,13,535.45","49,858"
09-May-2023,EQ,382.5,383.45,380.05,380.35,382.7,382.3,381.89,495.25,352.0,"28,58,349","1,09,15,82,584.40","55,743"
08-May-2023,EQ,381.0,383.0,379.6,379.4,380.85,380.35,380.46,495.25,352.0,"48,06,772","1,82,87,91,929.70","61,437"
05-May-2023,EQ,382.75,384.4,379.0,383.7,379.75,379.4,380.81,519.0,352.0,"39,51,097","1,50,46,24,092.95","64,467"
04-May-2023,EQ,384.75,386.15,383.05,385.1,383.5,383.7,384.52,519.0,352.0,"31,26,679","1,20,22,75,533.95","47,532"
03-May-2023,EQ,388.35,388.35,382.05,388.35,385.25,385.1,385.9,519.0,352.0,"24,14,244","93,16,57,707.75","54,223"
02-May-2023,EQ,389.0,392.15,387.45,385.0,388.0,388.35,389.72,519.0,352.0,"48,73,304","1,89,92,23,034.55","85,912"
